"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"3240",3927,"NCT00058552",572314,0.426229508,26,61,NA,NA,"Pertuzumab 420 mg","Participants in this group received pertuzumab IV infusion at a loading dose of 840 mg for Cycle 1 (1 Cycle = 3 Weeks), followed by 420 mg for Cycles 2 and beyond, up to 1 year (17 cycles) or until disease progression."
"3241",3929,"NCT00103844",561802,0.425742574,43,101,NA,NA,"DASATINIB","Dasatinib 70 mg twice a day (BID)"
"3245",3935,"NCT00500760",446285,0.425287356,37,87,"The median reporting period was around 82 days in the Panitumumab Plus Chemoradiation arm, and around 80 days in the Chemoradiotherapy Alone arm.","The table of Other Adverse Events summarizes non-serious occurrences of adverse events that exceeded a 5% frequency in either treatment arm.","Panitumumab Plus Chemoradiation","Participants received standard radiation therapy for 7 weeks, cisplatin 75 mg/m^2 and panitumumab 9 mg/kg intravenously on Days 1, 22 and 43."
"3253",3945,"NCT00494481",447812,0.424242424,14,33,NA,NA,"Vandetanib Plus Docetaxel","vandetanib 100 mg plus docetaxel"
"3260",3952,"NCT00389441",488095,0.423076923,22,52,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Axitinib","Axitinib (AG-013736) tablet 5 milligram (mg) orally twice daily continuously in 28-day cycles until tumor progression, unmanageable toxicity, or withdrawal of consent occurred. Dose was increased (to 7 mg or 10 mg twice daily) or decreased (to 3 mg or 2 mg twice daily) based on the tolerability."
"3262",3954,"NCT00028002",576133,0.423076923,22,52,"Adverse event (AE) information is collected Weeks 1, 4, 8, Months 3,8,9, then every 3 months until 2 years, then every 6 months until 5 years, then annually. (SAE = Serious Adverse Event).","Per the protocol, toxicity data was collected via CTC 2.0 then mapped to CTCAE 4.0 to report on this website. Subjects experiencing more than one of a given SAE are counted only once for that SAE. Subjects experiencing more than one of a given Other (Not Including Serious) AE are counted only once for that Other (Not Including Serious) AE.","Imatinib Mesylate","Patients receive oral imatinib mesylate once daily. Treatment continues for 8 weeks in the absence of disease progression. Patients with disease progression are considered for immediate surgical resection. Otherwise, after 8 weeks, patients undergo surgical resection to debulk all gross tumor. Two to four weeks after surgery, patients receive oral imatinib mesylate once daily for 2 years."
"3280",3975,"NCT00430781",471545,0.421052632,32,76,"SAEs/AEs were assessed in par. receiving >=1 dose of study treatment at time of final PFS analysis (From Randomization [11 December 2006] until last par. had last visit [28 July 2011] in combined population of two monotherapy arms [up to 241.43 weeks])","Serious adverse events (SAEs) and adverse events (AEs) are reported for the Safety Population (all participants who received at least one dose of study drug).","Combination Therapy: Lapatinib 1500 mg and Pazopanib 800 mg","Lapatinib 1500 mg (6 x 250 mg tablets) and pazopanib 800 mg (2 x 400 mg tablets) daily"
"3292",3988,"NCT00704730",370558,0.420560748,90,214,"10 September 2008 - 15 June 2011","The safety data includes subjects who were randomized and treated. Of 330 subjects, 219 were randomized to receive XL184, 111 placebo. Seven subjects were randomized and not treated; there were 214 subjects treated with XL184 and 109 subjects who received placebo.","XL184 (Cabozantinib)","XL184 175 mg L-malate salt weight; 138 mg freebase equivalent weight, oral capsules once daily"
"3295",3991,"NCT00604383",406618,0.420289855,145,345,NA,NA,"Ruboxistaurin","One 32-mg tablet, orally, daily, for up to 42 months"
"3296",3993,"NCT01253070",181636,0.42,21,50,NA,"At the time of analysis, adverse event data was collected on 50 of 54 participants.","Treatment (Daunorubicin, Cytarabine, Sorafenib Tosylate)","INDUCTION THERAPY: Daunorubicin hydrochloride 60 mg/m^2/day by IV push or short IV on days 1-3, cytarabine 100 mg/m^2/day by continuous IV on days 1-7, and sorafenib tosylate 400 mg orally every 12 hours on days 1-7.
CONSOLIDATION THERAPY - Every 28 days for 2 cycles: Cytarabine 2 g/m^2/day by IV on days 1-5 and sorafenib tosylate 400 mg orally every 12 hours on days 1-28.
MAINTENANCE - Every 28 days for up to 12 cycles: Sorafenib tosylate 400 mg orally every 12 hours on days 1-28."
"3300",4000,"NCT01136967",217754,0.419354839,39,93,"For each participant, from the first patient first dose till 30 days after the last dose of study drug, up to approximately 2.9 years.",NA,"Cohort 1 (V600E BRAF Negative)","Cohort 1 (V600E BRAF negative) enrolled participants not harboring the V600E BRAF mutation with disease progression following up to 2 prior systemic anticancer regimens (excluding anti-VEGF) for unresectable Stage III or Stage IV melanoma. Participants received lenvatinib 24 mg orally, once daily continuously in 28-day cycles."
"3302",4002,"NCT01609543",97270,0.419354839,26,62,"Baseline up to 28 days after the last dose of study medication (up to 34 months)",NA,"Erlotinib Hydrochloride","Participants received a single 150 mg oral dose of erlotinib hydrochloride tablet daily from Day 1 until disease progression, death, unacceptable toxicity or consent withdrawal, whichever occurred first up to 34 months."
"3305",4006,"NCT00577382",415926,0.419354839,13,31,"AE assessment was ongoing from the start of study drug and up to day 30 post-treatment.","Maximum grade toxicity by type was first calculated. Serious AEs were defined as events with treatment-attribution of possibly, probably or definitely and grade 3 or higher per CTCAEv3. Other AEs were defined as events with treatment-attribution of possible, probable or definite and grades 1 or 2 per CTCAEv3.","Cohort B-Sunitinib Continuous Dosing","Cohort B participants received 37.5 mg sunitinib daily on a continuous basis until progression or unacceptable toxicity up to 1 year."
"3319",4021,"NCT01015118",256672,0.416851441,376,902,"First drug administration until data cut-off 29Apr2013, up to 41 months","Adverse Events were reported for the treated patients.","Nintedanib","Patients to receive Nintedanib 200 mg, taken twice daily, except the day of chemotherapy (carboplatin and paclitaxel) infusion, every 21 days for six courses."
"3325",4031,"NCT01204697",196221,0.416666667,15,36,"Up to 18 months",NA,"Erlotinib","Participants received erlotinib at a dose of 150 mg/day orally as monotherapy, up to PD, death, or unacceptable toxicity."
"3326",4032,"NCT01152437",213747,0.416666667,15,36,"First administration of trial medication until 28 days after last administration of trial medication",NA,"Afatinib (Wild-type)","Afatinib tablets once daily in patients with KRAS (v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog) wild-type metastatic colorectal cancer. Patients started on 40 mg and then increased to 50 mg after 4 weeks if well tolerated."
"3331",4038,"NCT00385203",489622,0.416666667,10,24,NA,"Adverse events are reported for randomised patients who received at least one dose of treatment.","Cediranib 45 mg/Day GIST","Cediranib 45 mg/Day patients with Gastrointestinal Stromal Tumour (GIST): 24 patients randomised and received at least one dose of treatment (1 patient was not randomised or dosed and a further 1 patient was randomised but not dosed due to Incorrect enrolmentCediranib)"
"3342",4051,"NCT00815295",325783,0.416666667,5,12,NA,"The adverse events for this study were collected using Common Terminology Criteria for Adverse Events (CTCAE) version 3.0, and have been converted to CTCAE version 4.0 for entry into ClinicalTrials.gov.","Phase 2","Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib was administered orally twice daily at the MTD from Phase I."
"3344",4053,"NCT00684411",377630,0.416666667,5,12,"Toxicity was evaluated on treatment at weeks 1, 2, every 4 weeks from week 4 until week 28 and then every 12 weeks thereafter starting with week 36.","Maximum grade toxicity by type was first calculated. Serious AEs were defined as events with treatment-attribution of possibly, probably or definitely and grade 3 or higher per CTCAEv3. Other AEs were defined as events with treatment-attribution of possible, probable or definite and grades 1 or 2 per CTCAEv3.","Imatinib Mesylate","The initial starting dose of imatinib mesylate was 400 mg by mouth once daily but intra-patient dose escalation for patients who did not achieve complete response (CR) was built in upon restaging at weeks 8 and 16. At week 8, patients with partial response (PR) or stable disease (SD) were dose escalated to 600 mg. At week 16, if these patients continued in PR or SD, dose escalated to 800 mg and for patients on 400 mg dose escalated to 600 mg. Patients who experienced disease progression could be dose escalated per MD discretion. Patients were treated as long as receiving clinical benefit and no unacceptable toxicity."
"3347",4056,"NCT00536809",431682,0.416666667,5,12,"Phases I and II","GSK typically summarizes all AEs and all SAEs. The SAE summary will include participants with only an SAE. The data summarized below under the heading Other AEs (non-serious) are actually a summary of all AEs, which does include some SAEs.","Lap. 1000 mg/Oxaliplatin 130 mg/m^2/Capecitabine 1500 mg/m^2","Lapatinib (Lap.) 1000 milligrams (mg)/day administered orally on Days 1-21, oxaliplatin 130 mg/square meters (m^2) administered intravenously on Day 1, and capecitabine 1500 mg/m^2 administered orally twice a day on Days 1-14 of a 21-day cycle"
"3357",4066,"NCT00245063",532813,0.416666667,5,12,NA,"Other adverse events include all grades and attributions to treatment not included in the Serious table.","Arm A","Patients receive oral AZD2171 45 mg once daily for 28 days. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.
cediranib maleate: Given PO"
"3358",4067,"NCT00121719",555445,0.416666667,5,12,"All adverse events (AEs) were collected for up to approximately 4 years.","Treatment-emergent adverse events were defined as AEs that emerged during treatment, having been absent at pre-treatment, or that worsened in severity relative to the pre-treatment state, or occurred within 7 days or 5 times the half-life (whichever was longer) post participant's last treatment. Only treatment-emergent AEs and SAEs were reported.","12 mg Lenvatinib","One 10 mg lenvatinib tablet and two 1.0 mg lenvatinib tablets were taken orally, once daily. Lenvatinib was to be taken on an empty stomach shortly after waking. Participants were fasted for 2 hours following administration of lenvatinib and could drink only clear fluids during this time (grapefruit juice was to be avoided). If 1 of 3 participants experienced DLT during Cycle 1 (4 weeks) an additional 3 participants were to be treated at this dose level. If 5 of the 6 participants in the expanded dose level did not experience DLT during the first 4 weeks of therapy, no additional DLT was observed, the next dose level was opened for enrollment. If more than 1 participant experienced DLT during the first 4 weeks of therapy, dose escalation was stopped and the MTD was determined. An additional 12 participants were treated at the MTD level."
"3363",4074,"NCT01578707",103942,0.415384615,81,195,"From first dose of study drug to within 30 days of last dose.","196 subjects were randomized to the Ofa arm with 191 received drug thus 5 patients were not included in the number of participants at risk.","Ibrutinib (Arm B)","A Bruton Tyrosine Kinase Inhibitor
ibrutinib: ibrutinib 420 mg (3 x 140-mg capsules) will be administered orally once daily until disease progression or unacceptable toxicity"
"3367",4079,"NCT00720941",363770,0.415162455,230,554,"Participants were analyzed from the time of the first dose of study drug to approximately one month after the discontinuation of study drug (up to Study Week 268).","Serious adverse events (SAEs) and non-serious AEs were collected in the Safety Population, comprised of all randomized participants who received at least one dose of study medication, according to the actual treatment received.","Pazopanib 800 mg","Participants were administered pazopanib 800 mg (2 x 400 mg tablets) orally OD continuously. Pazopanib was to be taken at least one hour before or at least two hours after a meal. Participants received study treatment until disease progression, death, unacceptable toxicity, or withdrawal of consent for any other reasons."
"3373",4085,"NCT01506596",118267,0.414634146,17,41,NA,NA,"Pazopanib","Pazopanib 800 mg orally once daily will be started on Cycle 1 Day 1 and will be administered continuously for a 28-day cycle. Study treatment may continue until disease progression or unacceptable toxicity.
pazopanib: Pazopanib 800 mg orally once daily will be started on Cycle 1 Day 1 and will be administered continuously for a 28-day cycle. Study treatment may continue until disease progression or unacceptable toxicity."
"3379",4092,"NCT00871169",305387,0.413793103,24,58,NA,"Study participants were assessed for toxicity at every scheduled study visit through a full clinical exam. Patient-reported toxicities were also collected.","Irinotecan, Oxaliplatin, and Cetuximab","The goal is to administer at least 4 cycles to each patient, but treatment may stop earlier if the treating physician deems stopping to be in the best interest of the patient. Repeated treatment may be given to patients who benefit (either complete or partial response or stabilization of disease)
Irinotecan, oxaliplatin, and cetuximab: Irinotecan at 90 mg/m2 intravenously every two weeks (administered over 60 minutes) + Oxaliplatin at 60 mg/m2 intravenously every two weeks(administered over 60 minutes) + Cetuximab at 250 mg/m2 intravenously every two weeks (administered over 90 minutes).
The treatment interval (one cycle) is every 14 days."
"3382",4095,"NCT00874848",304450,0.413793103,12,29,"Serious adverse events (SAEs) and non-serious AEs were collected from the first dose of investigational product to the discontinuation of study plus 30 days after the last dose of study drug or until the subject began alternative therapy.",NA,"Control Arm","Cetuximab + Paclitaxel/Carboplatin"
"3385",4098,"NCT00272987",525387,0.413793103,12,29,"Serious adverse events (SAEs) and non-serious AEs were collected from the first dose of investigational product to 30 days after the last dose of investigational product (up to Study Week 164).","SAEs and non-serious AEs were collected in members of the Safety Population, comprised of all randomized participants who received at least one dose of investigational product , according to the actual treatment received.","Paclitaxel 80 mg/Trastuzumab 4 mg/Lapatinib 1000 mg","Participants received an intravenous (IV) infusion of paclitaxel 80 milligrams per meter squared (mg/m^2) over 60 minutes weekly for 3 weeks of a 4-week cycle plus an IV infusion of trastuzumab 4 mg per kilogram (mg/kg) loading dose and 2 mg/kg weekly plus a daily dose of 4 tablets of lapatinib (1000 mg) at approximately the same time every day, either 1 hour (or more) before a meal or 1 hour (or more) after a meal."
"3394",4108,"NCT00753688",352116,0.4125,99,240,"Serious adverse events (SAEs) and non-serious AEs were collected from Baseline through End of Study (average of 20 study weeks).","The Safety Population, comprised of all participants who had started their allocated treatment (at least one dose of the study drug), was used for all safety analyses.","Pazopanib","Pazopanib 200 milligrams (mg) and 400 mg film-coated tablets (containing pazopanib monohydrochloride) administered orally at a dose of 800 mg once daily for a duration until participants experienced disease progression, death, unacceptable toxicity, or participants withdrew consent"
"3395",4109,"NCT01147822",215019,0.412429379,73,177,"Participants were analyzed from the first dose of study medication until the follow-up contact (up to Study Week 156).","Serious adverse events (SAEs) and non-serious AEs were collected in the Safety Population, comprised of all randomized participants who received at least one dose of study medication, according to the actual treatment received.","Sunitinib 50 mg","Participants were administered sunitinib 50 mg capsules orally OD in 6-week cycles (4 weeks of treatment, followed by 2 weeks without treatment). Study treatment continued until participants experienced disease progression, death, or unacceptable toxicity, or withdrew consent for any other reason."
"3401",4118,"NCT00474812",454842,0.411764706,21,51,"Adverse Events that occur during treatment or within 30 Days of the last dose. The time frames for patients was 0-23 months.",NA,"Dasatinib Treatment","Patients receive oral dasatinib twice daily on days 1-28."
"3405",4123,"NCT01606748",97941,0.411764706,7,17,NA,"All participants who received at least one dose of study drug.","Necitumumab Cohort 2","Necitumumab administered on Day 3 of the 3-week PK run-in period as an IV infusion at an absolute dose of 800 mg. Necitumumab administered on Days 1 and 8 of every 3-week cycle as an IV infusion at an absolute dose of 800 mg.
Participants in Cohort 1 received necitumumab Process C drug product and participants in Cohort 2 received necitumumab Process D drug product.
Gemcitabine administered on Day 1 of the 3-week PK run-in period as an IV infusion at a dose of 1250 mg/m2.
Gemcitabine administered on Days 1 and 8 of every 3-week cycle as an IV infusion at a dose of 1250 mg/m2."
"3415",4136,"NCT01378975",146512,0.411111111,37,90,"From signing of informed consent form up to 28 days after the last dose of study drug (Up to approximately 4 years)","The safety population included all participants who received at least one dose of study medication.","Cohort 1: Previously Untreated Participants","Participants who had not received previous treatment for brain metastases [i.e., had never received brain stereotactic radiotherapy (SRT), whole-brain radiotherapy (WBRT), surgery, or any other treatment for their brain metastases] received Vemurafenib 960 milligram (mg) tablet orally, twice daily (BID) from Day 1 until development of progressive disease within the brain or outside of the brain (whichever occurred first), unacceptable toxicity, consent withdrawal, protocol violation endangering participant’s safety, death, reasons deemed by the investigator, or study termination by the Sponsor."
"3418",4139,"NCT01008475",258902,0.410958904,30,73,"From the first dose of study drug administration up to 50 days after the last dose of study drug administration","The safety analysis set included all subjects who received at least 1 dose of the trial medication. 1 subject who was randomized to EMD525797 1000 mg group received only SoC, therefore this subjects was reported under the SOC group.","Standard of Care (SoC)","Cetuximab was administered at a dose of 400 milligram per square meter (mg/m^2) on Day 1 Cycle 1 (Week 1) as intravenous (IV) infusion for 2 hours, and then at a dose of 250 mg/m^2 on Day 8 (Week 2) once weekly followed by irinotecan at a dose of 180 mg/m^2 as IV infusion for 30-90 minutes for every 2 weeks until radiographically documented progressive disease (PD) (as assessed by the investigator), unacceptable toxicity or eligibility for curative resection (investigator’s assessment), or withdrawal of consent."
"3423",4147,"NCT00333840",504892,0.410163339,226,551,NA,NA,"Imatinib (STI571)","In the first-line treatment period participants received imatinib 400 mg orally once daily in the morning. Hydroxyurea was permitted in the first 6 months to keep the white blood cell count (WBC) below 20.0 X 10^9/liter. If protocol specific criteria applied, participants were eligible to crossover to receive interferon-alpha (IFN-a) and cytarabine (ARA-C) in the second-line treatment period. Maximum study duration was 11.5 years."
"3425",4151,"NCT01232296",187312,0.409638554,34,83,NA,NA,"Sorafenib","400 mg tablet p.o. b.i.d."
"3430",4158,"NCT00994123",264510,0.409090909,18,44,"AEs were collected from a patient's first dose until 30 days after treatment termination. SAEs were collected from time of informed consent until 30 days after termination. If related, events could be reported at any time after termination.","All related AEs ongoing at the time of treatment discontinuation were followed until resolution. Investigators were to report any AEs/SAEs assumed to be related any time, even if occurring more than 30 days after last dose. Though different for each patient, on average, patients could be followed for related AEs/SAEs for ~1 year after termination.","Ph 2: Erlotinib","EGFR wild-type, EGFR-TKI naive patients randomized to receive:
daily 150 mg erlotinib p.o. alone"
"3433",4162,"NCT00638378",392885,0.409090909,9,22,NA,NA,"Ruxolitinib","Participants received ruxolitinib 25 mg orally twice daily in 12-hour intervals for 21-day cycles for as long as the study medication was tolerated and provided clinical benefit."
"3435",4165,"NCT00720941",363769,0.408759124,224,548,"Participants were analyzed from the time of the first dose of study drug to approximately one month after the discontinuation of study drug (up to Study Week 268).","Serious adverse events (SAEs) and non-serious AEs were collected in the Safety Population, comprised of all randomized participants who received at least one dose of study medication, according to the actual treatment received.","Sunitinib 50 mg","Participants were administered sunitinib 50 mg orally once daily in 6-week cycles (4 weeks of treatment, followed by 2 weeks without treatment). Participants received study treatment until disease progression, death, unacceptable toxicity, or withdrawal of consent for any other reasons."
"3443",4173,"NCT00399035",484057,0.408,204,500,NA,NA,"Cediranib 20mg","Cediranib 20mg/day + Folfox/Xelox"
"3447",4180,"NCT00095199",564560,0.407534247,119,292,"Randomization to 30 days after study therapy up to 72.8 months for Cetuximab & Pemetrexed (versus just Pemetrexed) and up to 64.3 months for Cetuximab + Docetaxel (versus just Docetaxel)",NA,"Cetuximab & Pemetrexed","Cetuximab 400/250 mg/m^2 (initial/weekly) administered intravenously on Days 1, 8, and 15 (3-week) cycles, until disease progression or unacceptable toxicity. Pemetrexed 500 mg/m^2 administered intravenously on day 1 of 3 weeks cycle until disease progression or unacceptable toxicity for up to six (3-week) cycles."
"3448",4181,"NCT01722487",75366,0.407407407,55,135,"From first dose of study drug to within 30 days of last dose or starting new anti-cancer therapy, whichever occurs earlier, up to 04May2015 ( data cutoff date for final analysis).","269 subjects were randomized on the study of which 2 subjects withdrew without treatment and were not included in the number of participants at risk. Investigators assess the occurrence of AEs and SAEs at all patient evaluation time points during the study.","PCI-32765","Ibrutinib 420 mg daily."
"3451",4184,"NCT00101400",562494,0.407407407,22,54,NA,"Acronyms used: Gastrointestinal (GI), Common Terminology Criteria for Adverse Events (CTCAE), Not Otherwise Specified (NOS), Central nervous system (CNS), Alanine aminotransferase (ALT), Aspartate aminotransferase (AST), Gammaglutamyltransferase (GGT).","Sorafenib (Nexavar, BAY43-9006)","Sorafenib 400 mg administered twice daily (b.i.d.)"
"3454",4188,"NCT00692770",374912,0.406871609,225,553,"From the date of signing informed consent up to 30 days post-treatment discontinuation","In the safety analysis set (SAF), subjects were analyzed as treated but not randomized, therefore, few subjects in the placebo group of the full analysis set were switched to the sorafenib group of the SAF. Hence, SAF for safety analyses comprised of 548 subjects in the placebo group and 559 subjects in the sorafenib group.","Sorafenib (Nexavar, BAY43-9006)","Participants received 2 tablets of Sorafenib (2×200 mg) orally twice daily (BID)"
"3455",4189,"NCT00777153",341167,0.40625,26,64,NA,"Adverse events are assessed on all patients who meet the Safety set criteria i.e. all patients who were randomized and received at least one dose of study drug.
Safety Set: Cediranib 30 mg=128, Cediranib 20 mg + Lomustine=123, Placebo + Lomustine=64","Lomustine 110mg","Lomustine 110mg/m2/Day + Placebo cediranib"
"3457",4191,"NCT00514943",441672,0.40625,13,32,"1493 days",NA,"Cetuximab 250 mg/m2 / Afatinib 50 mg - Stage 2","Patients were randomized to Cetuximab 250 mg/m2 received 400mg/m2 once in the first week followed by 250 mg/m2 weekly thereafter in Stage 1 and if the patients had disease progression or intolerable AEs were crossed over to Afatinib 50 mg once daily (q.d.) for Stage 2."
"3459",4193,"NCT00336856",504286,0.40625,13,32,NA,NA,"IRINOTECAN AND CETUXIMAB","Cetuximab administered at an initial dose of 500 mg/m2 intravenously (IV) over 120 minutes, followed by 500 mg/m2 every 2 weeks IV over 60 minutes.
Irinotecan administered at a dose of 150 or 180 mg/m2 IV over 60 minutes every two weeks."
"3466",4202,"NCT01085136",234024,0.405545927,468,1154,"From the signing of the informed consent to the final follow-up visit.","Part A-events that started within the period defined by the first administration of afatinib until randomization into Part B or 28 days after the last administration of afatinib, whichever occurred first. Part B -events that started within the period from randomization through 28 days after the last administration of trial medication.","Part A: Afatinib Monotherapy","Test product for Part A: Afatinib film-coated tablet dose: 50 mg/day, with dose reductions to 40 mg/day and 30 mg/day (following the protocol-defined dose reduction scheme) mode of admin.: Oral
Median duration of exposure was 86.0 days."
"3468",4206,"NCT00114244",557443,0.405405405,15,37,"Adverse Events occured over a 36 month period.","Other Adverse Events include all events that were not severe adverse events regardless of grade or relation to treatment.","Arm II (Sorafenib Tosylate, Gemcitabine Hydrochloride)","Patients receive 400 mg oral sorafenib as in Arm I and gemcitabine IV over 100 minutes on days 1, 8, and 15.
sorafenib tosylate: Given PO
gemcitabine hydrochloride: Given IV
laboratory biomarker analysis: Correlative studies"
"3471",4210,"NCT00252564",531178,0.404958678,49,121,"during the whole treatment period, up to 30 days following last dose","for treated patients only, assessed at each treatment visit","Arm B","(FOLF-CB): Cetuximab administered over 2 hours (first dose only; administer all other doses over 1 hour) followed by bevacizumab over 30 minutes, followed by LV over 30 minutes, followed by bolus 5-FU followed by infusional 5-FU.
Cetuximab --> bevacizumab --> LV --> bolus 5-FU --> infusional 5-FU"
"3474",4213,"NCT01003899",260227,0.404761905,17,42,"First administration of trial medication until 28 days after last administration of trial medication",NA,"Afatinib 40 mg","Afatinib 40 mg film coated tablets where administered on continuous daily dosing until progression, unacceptable adverse events or other reasons necessitating withdrawal"
"3482",4221,"NCT01136967",217753,0.404494382,36,89,"For each participant, from the first patient first dose till 30 days after the last dose of study drug, up to approximately 2.9 years.",NA,"Cohort 2 (V600E BRAF Positive)","Cohort 2 (V600E BRAF positive) enrolled participants harboring the activating BRAF mutations (mainly the V600E mutation) with disease progression following BRAF V600E-targeted therapy. Participants received lenvatinib 24 mg orally, once daily continuously in 28-day cycles."
"3484",4223,"NCT00544817",429234,0.404255319,19,47,NA,NA,"Combination Therapy","In the combined modality portion of the study, patients were administered:
Radiation Therapy - 2 Gy/fraction, Single daily fractions M-F, to 60 Gy total Temozolomide - 75 mg/m2 by mouth once daily
Patients took a four week break before beginning follow-up systemic therapy:
Temozolomide - 150 mg /m2 by mouth on days 1-5 every 28 days for 6 cycles Sorafenib - 400 mg by mouth twice a day for 6 months"
"3490",4232,"NCT01827254",58766,0.403846154,21,52,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as non-serious in another subject, or one subject may have experienced both a serious and non-serious event during the study.","Metastatic Renal Cell Carcinoma (mRCC) Cohort","Participants diagnosed with mRCC who met the selection criteria and received first-line sunitinib as per standard local practice, followed by one or more lines of different treatments (bevacizumab with interferon, bevacizumab without interferon, sorafenib, axitinib, temsirolimus or everolimus), and, lastly were rechallenged with sunitinib between 2006 and May 2013 were included in this non-interventional study."
"3496",4238,"NCT00428220",472471,0.403587444,90,223,"From first day of treatment on the current study up to 28 days post the last dose of study treatment","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one participant and as nonserious in another participant, or one participant may have experienced both a serious and nonserious event during the study.","Sunitinib","Participants receiving treatment on single-agent sunitinib on continuous dosing regimens returned for study visits at Day 28, and every 8 weeks thereafter. Participants on regimens other than single-agent sunitinib on continuous dosing followed the schedule of activities from their parent or extension protocol. Sunitinib-naïve participants (ie, those not treated with sunitinib in the previous parent study) received a starting dose of 37.5 mg sunitinib once daily."
"3508",4251,"NCT01085136",234023,0.401515152,53,132,"From the signing of the informed consent to the final follow-up visit.","Part A-events that started within the period defined by the first administration of afatinib until randomization into Part B or 28 days after the last administration of afatinib, whichever occurred first. Part B -events that started within the period from randomization through 28 days after the last administration of trial medication.","Part B: Afatinib Plus Paclitaxel","Test product for Part B: Afatinib film-coated tablet dose: 40 mg/day, with dose reductions to 30 mg/day and 20 mg/day (following the protocol-defined dose reduction scheme) mode of admin.: Oral
Concomitant therapy for Part B:Paclitaxel dose: 80 mg/m2 once weekly (7 weeks on/1 week off; 2 dose reductions were allowed following the protocol-defined dose reduction scheme and the current local summary of product characteristics) mode of admin.: Intravenous
Median duration of exposure was 132.5 days."
"3515",4259,"NCT00410826",479420,0.4,38,95,"Serious adverse events were collected from the first day of study therapy through 30 days following the last day of study therapy.","All grades of rash and pain were recorded. For all other adverse events, only grade 3 and higher events and events that led to a dose reduction or delay were recorded.","Arm B (Cisplatin, Radiotherapy, Erlotinib)","Patients receive cisplatin and radiotherapy as in Arm A. Patients also receive erlotinib hydrochloride PO QD on days -7 to 47."
"3516",4260,"NCT00117637",556701,0.4,36,90,NA,"Acronyms and abbreviations used: Common Terminology Criteria for Adverse Events (CTCAE); Not Otherwise Specified (NOS); Gastrointestinal (GI); Absolute Neutrophil Count (ANC); Alanine aminotransferase (ALT); Aspartate aminotransferase (AST); Central nervous system (CNS); Acute respiratory distress syndrome (ARDS)","Interferon Therapy in Period 1","Interferon (IFN) a-2a was administered at a dose of 9 million international units(MIU) subcutaneously three times a week until progression (= first intervention period, 5.6 months [median]). Subjects initially started with a single dose of 3 MIU IFN and increased the dose as rapidly as possible to 9 MIU IFN three times a week within 1 or 2 weeks in first intervention period. After first progression, subjects received 2 tablets of Sorafenib (200 mg tablets) twice daily (BID) (ie 12-hourly) until the next progression (=second intervention period, 5.3 months [median])."
"3521",4265,"NCT00392704",486940,0.4,24,60,NA,NA,"Intervention","All patients initially received treatment with paclitaxel 200 mg/m2, 3 hour IV infusion days 1 and 22; carboplatin area under the curve (AUC) 6.0 IV, days 1 and 22; 5-fluorouracil (5-FU) 200 mg/m2 daily by 24-hour continuous IV infusion, days 1 to 43; bevacizumab 15 mg/kg IV infusion days 1 and 22.
One to three weeks after completing neoadjuvant therapy, patients began treatment with concurrent chemoradiation, bevacizumab, and erlotinib. Radiation therapy began on day 1, with 1.8-Gy single daily doses, Monday through Friday, to a total dose of 68.4 Gy. Paclitaxel 50 mg/m2 was administered by 1-hour IV infusion on days 1 and 22. Erlotinib 150 mg by mouth daily began concurrently with radiation therapy and continued daily during the 7-week course of radiation."
"3522",4266,"NCT00984282",268350,0.4,22,55,"Adverse event data were collected after signing the informed consent until 30 days after end of study treatment over a period of approximately three years.","Abbreviations used: Gastrointestinal (GI), Common Terminology Criteria for Adverse Events (CTCAE), Not Otherwise Specified (NOS), Absolute Neutrophil Count (ANC), Central Nervous System (CNS), Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST), Cranial Nerve (CN), Range of Motion (ROM), Cerebrospinal Fluid (CSF), Genitourinary (GU).","Sorafenib, Open Label Only (Sorafenib Continued)","Reporting Group 3: Participants on sorafenib who continued OL sorafenib treatment, received sorafenib 400 mg (2 x 200 mg) orally twice daily, 28 days comprise a cycle. Data were collected from the start of OL period to the data cutoff on 31 Aug 2012."
